QUANTITY,TOTAL,,
1,Raspberry Pi 4 Model B 8GB$80.00,QuantityDecrease quantity for Raspberry Pi 4 Model B 8GBIncrease quantity for Raspberry Pi 4 Model B 8GB ,160
1,"Kingston Micro SD Card with Adapter$10.00
Size:Â 
64GB Kingston Micro SD Card with Adapter",QuantityDecrease quantity for Kingston Micro SD Card with AdapterIncrease quantity for Kingston Micro SD Card with Adapter ,10
1,GY-85 BMP085 9 Axis Sensor Module (ITG3205 + ADXL345 + HMC5883L)$12.00,QuantityDecrease quantity for GY-85 BMP085 9 Axis Sensor Module (ITG3205 + ADXL345 + HMC5883L)Increase quantity for GY-85 BMP085 9 Axis Sensor Module (ITG3205 + ADXL345 + HMC5883L) ,12
1,OV7670 300KP VGA Camera Module$9.00,QuantityDecrease quantity for OV7670 300KP VGA Camera ModuleIncrease quantity for OV7670 300KP VGA Camera Module ,9
4,2200KV Brushless Motor Kit$20.00,,$80.00
1,Ultra Sonic Module,,$1.50
1,PS2 joystick wireless,,$6.50
1,IR Sensor 4 way,,$6.00
1,LiPi S3 Battery,,$13.00
1,3D Printing,Estimated,$20.00
2, Arduino MKR 1300, _ 110$
TOTAL,_,_,$394
